question,cypher,type,database,explanation,syntax_error,timeout,returns_results,no_cypher
Name the top 3 Services listening on Port 80.,"MATCH (s:Service)-[:LISTENS]->(p:Port {port: 80})
RETURN s.name AS service_name
LIMIT 3",Pathfinding Queries,network,"This Cypher query retrieves the names of the top 3 services that are listening on port 80. Here's how it works:
1. The `MATCH` clause finds all `Service` nodes that have a `LISTENS` relationship to a `Port` node with the property `port` set to 80.
2. The `RETURN` clause specifies that we want to return the `name` property of these `Service` nodes, aliased as `service_name`.
3. The `LIMIT 3` clause restricts the result to the top 3 services.",False,False,True,False
Name the first 3 Machines that are of type 'm' and are located in zone 3.,"MATCH (m:Machine)-[:TYPE]->(t:Type {type: 'm'}),
      (r:Rack {zone: 3})-[:HOLDS]->(m)
RETURN m.name
LIMIT 3",Pathfinding Queries,network,"This Cypher query retrieves the names of the first three machines that are of type 'm' and are located in zone 3. Here's how it works:
1. The `MATCH` clause finds machines (`m:Machine`) that are connected to a type node (`t:Type`) with the property `type` set to 'm'.
2. It also matches racks (`r:Rack`) with the property `zone` set to 3 that hold these machines (`m`).
3. The `RETURN` clause specifies that we want to return the names of these machines.
4. The `LIMIT 3` clause ensures that only the first three matching machines are returned.",False,False,True,False
List the first 5 Applications that depend on the Process with PID 8966.,"MATCH (p:Process {pid: 8966})<-[:DEPENDS_ON]-(a:Application)
RETURN a.name
LIMIT 5",Pathfinding Queries,network,"This Cypher query retrieves the names of the first 5 Applications that depend on the Process with PID 8966. Here's how it works:
1. `MATCH (p:Process {pid: 8966})<-[:DEPENDS_ON]-(a:Application)`: This part of the query matches the Process node with the property `pid` equal to 8966 and finds all Application nodes that have a `DEPENDS_ON` relationship with this Process node.
2. `RETURN a.name`: This returns the names of the matched Application nodes.
3. `LIMIT 5`: This limits the result to the first 5 Application names.",False,False,True,False
What are the IPs of the Ports exposed by the Interface connected to Router 'DC1-R-1'?,"MATCH (router:Router {name: 'DC1-R-1'})-[:ROUTES]->(interface:Interface)-[:EXPOSES]->(port:Port)
RETURN interface.ip AS InterfaceIP, port.port AS Port",Pathfinding Queries,network,"This Cypher query retrieves the IP addresses of the ports exposed by the interfaces connected to the router named 'DC1-R-1'. Here's a step-by-step breakdown of the query:

1. `MATCH (router:Router {name: 'DC1-R-1'})-[:ROUTES]->(interface:Interface)-[:EXPOSES]->(port:Port)`: This part of the query matches the router node with the name 'DC1-R-1' and traverses the `ROUTES` relationship to find the connected interface nodes. It then traverses the `EXPOSES` relationship to find the ports exposed by these interfaces.

2. `RETURN interface.ip AS InterfaceIP, port.port AS Port`: This part of the query returns the IP addresses of the interfaces and the port numbers of the exposed ports.

By following these steps, the query will provide the necessary information to answer the user's question.",False,False,False,False
Which Machine types are used in DataCenter 'DC1'?,"MATCH (dc:DataCenter {name: 'DC1'})-[:CONTAINS]->(:Rack)-[:HOLDS]->(m:Machine)-[:TYPE]->(t:Type)
RETURN DISTINCT t.name AS MachineType",Pathfinding Queries,network,"This Cypher query retrieves the distinct types of machines used in the DataCenter named 'DC1'. Here's how it works:
1. It starts by matching the `DataCenter` node with the name 'DC1'.
2. It then traverses the `CONTAINS` relationship to find the `Rack` nodes contained within this data center.
3. From each `Rack`, it follows the `HOLDS` relationship to find the `Machine` nodes.
4. For each `Machine`, it follows the `TYPE` relationship to find the associated `Type` node.
5. Finally, it returns the distinct names of these `Type` nodes as `MachineType`.",False,False,True,False
How many machines in rack 'DC1-RCK-1-1' run the OS 'RHEL'?,"MATCH (rack:Rack {name: 'DC1-RCK-1-1'})-[:HOLDS]->(machine:Machine)-[:RUNS]->(os:OS {name: 'RHEL'})
RETURN count(machine) AS numberOfMachines",Complex Aggregation Queries,network,"This Cypher query starts by matching the `Rack` node with the name 'DC1-RCK-1-1'. It then traverses the `HOLDS` relationship to find all `Machine` nodes contained in this rack. From each `Machine` node, it follows the `RUNS` relationship to find the `OS` nodes. The query filters these `OS` nodes to only include those with the name 'RHEL'. Finally, it counts the number of `Machine` nodes that meet these criteria and returns this count as `numberOfMachines`.",False,False,True,False
Which application listens on port 80?,"MATCH (p:Port {port: 80})<-[:LISTENS]-(a:Application)
RETURN a.name",Complex Aggregation Queries,network,"This Cypher query starts by matching the `Port` node with the property `port` set to 80. It then traverses the `LISTENS` relationship to find the `Application` node that listens on this port. Finally, it returns the name of the application.",False,False,True,False
List the top 5 ports exposed by the interface with IP '10.0.0.254'.,"MATCH (i:Interface {ip: '10.0.0.254'})-[:EXPOSES]->(p:Port)
RETURN p.port AS port
ORDER BY p.port
LIMIT 5",Complex Aggregation Queries,network,"This Cypher query starts by matching the `Interface` node with the IP address '10.0.0.254'. It then traverses the `EXPOSES` relationship to find all `Port` nodes that are exposed by this interface. The query returns the port numbers, orders them, and limits the result to the top 5 ports.",False,False,False,False
What are the first 3 processes running on machines within 'DC1-RCK-4-9'?,"MATCH (dc:DataCenter {name: 'DC1'})-[:CONTAINS]->(rack:Rack {name: 'DC1-RCK-4-9'})-[:HOLDS]->(machine:Machine)-[:RUNS]->(process:Process)
RETURN process.name, process.startTime, process.pid
ORDER BY process.startTime
LIMIT 3",Complex Aggregation Queries,network,"This Cypher query starts by matching the `DataCenter` node with the name 'DC1'. It then traverses the `CONTAINS` relationship to find the `Rack` node with the name 'DC1-RCK-4-9'. From this rack, it follows the `HOLDS` relationship to find all `Machine` nodes. Finally, it matches the `RUNS` relationship to find all `Process` nodes running on these machines. The query returns the name, start time, and process ID of these processes, ordered by their start time, and limits the result to the first three processes.",False,False,True,False
Which zone has the most networks routed through it?,"MATCH (z:Zone)-[:ROUTES]->(i:Interface)<-[:ROUTES]-(n:Network)
WITH z.zone AS zone, COUNT(n) AS network_count
RETURN zone
ORDER BY network_count DESC
LIMIT 1",Complex Aggregation Queries,network,"This Cypher query retrieves the zone that has the most networks routed through it. Here's a step-by-step explanation:

1. `MATCH (z:Zone)-[:ROUTES]->(i:Interface)<-[:ROUTES]-(n:Network)`: This pattern matches zones that route interfaces, and those interfaces are also routed by networks. This ensures we are looking at the correct routing relationships.

2. `WITH z.zone AS zone, COUNT(n) AS network_count`: This clause groups the results by zone and counts the number of networks routed through each zone.

3. `RETURN zone`: This returns the zone identifier.

4. `ORDER BY network_count DESC`: This orders the results by the count of networks in descending order, so the zone with the most networks comes first.

5. `LIMIT 1`: This limits the result to only the top zone with the highest count of networks.

The query effectively identifies the zone with the most networks routed through it by counting the networks associated with each zone and then selecting the zone with the highest count.",False,False,False,False
What are the top 3 applications running on the machine named 'DC1-RCK-1-1-M-1'?,"MATCH (m:Machine {name: 'DC1-RCK-1-1-M-1'})-[:RUNS]->(a:Application)
RETURN a.name AS application, COUNT(a) AS count
ORDER BY count DESC
LIMIT 3",Complex Aggregation Queries,network,"This Cypher query retrieves the top 3 applications running on the machine named 'DC1-RCK-1-1-M-1'. Here's how it works:
1. The `MATCH` clause finds the `Machine` node with the name 'DC1-RCK-1-1-M-1' and matches it to any `Application` nodes it is connected to via the `[:RUNS]` relationship.
2. The `RETURN` clause returns the name of each application and the count of how many times each application is running.
3. The `ORDER BY` clause sorts the results by the count in descending order.
4. The `LIMIT` clause restricts the results to the top 3 applications.",False,False,True,False
Which software versions are dependent on the software named 'RHEL'?,"MATCH (s:Software {name: 'RHEL'})-[:DEPENDS_ON]->(v:Version)
RETURN v.name AS version",Complex Aggregation Queries,network,"This Cypher query starts by matching the `Software` node with the name 'RHEL'. It then traverses the `DEPENDS_ON` relationship to find the `Version` nodes that this software depends on. Finally, it returns the names of these versions.",False,False,False,False
List the top 5 routers located in zone 2.,"MATCH (r:Router)
WHERE r.zone = 2
RETURN r.name
LIMIT 5",Complex Aggregation Queries,network,"This Cypher query retrieves the names of the top 5 routers located in zone 2. Here's how it works:
1. `MATCH (r:Router)`: This part of the query matches all nodes with the label `Router`.
2. `WHERE r.zone = 2`: This filters the matched routers to only those that are located in zone 2.
3. `RETURN r.name`: This returns the names of the filtered routers.
4. `LIMIT 5`: This limits the result to the top 5 routers.",False,False,True,False
What are the top 3 types of machines held in rack 'DC1-RCK-1-1'?,"MATCH (rack:Rack {name: 'DC1-RCK-1-1'})-[:HOLDS]->(machine:Machine)-[:TYPE]->(type:Type)
RETURN type.name AS typeName, COUNT(machine) AS machineCount
ORDER BY machineCount DESC
LIMIT 3",Complex Aggregation Queries,network,"This Cypher query retrieves the top 3 types of machines held in the rack named 'DC1-RCK-1-1'. Here's how it works:
1. The `MATCH` clause finds the `Rack` node with the name 'DC1-RCK-1-1' and traverses the `HOLDS` relationship to find all `Machine` nodes held in this rack.
2. It then traverses the `TYPE` relationship from each `Machine` node to find the associated `Type` node.
3. The `RETURN` clause returns the name of each type (`type.name`) and the count of machines of that type (`COUNT(machine)`) as `machineCount`.
4. The `ORDER BY` clause sorts the results by `machineCount` in descending order.
5. The `LIMIT 3` clause restricts the results to the top 3 types.",False,False,True,False
Which DataCenter contains the router named 'DC1-R-1'?,"MATCH (dc:DataCenter)-[:CONTAINS]->(r:Router {name: 'DC1-R-1'})
RETURN dc.name",Complex Aggregation Queries,network,This Cypher query starts by matching a `DataCenter` node that has a `CONTAINS` relationship to a `Router` node with the name 'DC1-R-1'. It then returns the name of the `DataCenter` that contains this router. This query directly answers the question by identifying the `DataCenter` associated with the specified router.,False,False,True,False
What are the IPs of the first 5 Interfaces connected to Zone 4?,"MATCH (z:Zone {zone: 4})-[:ROUTES]->(i:Interface)
RETURN i.ip
LIMIT 5",Pathfinding Queries,network,"This Cypher query starts by matching the `Zone` node with the property `zone` equal to 4. It then traverses the `ROUTES` relationship to find the connected `Interface` nodes. Finally, it returns the `ip` property of the first 5 `Interface` nodes found.",False,False,True,False
Which Machine Interfaces are connected to Network '10.1'?,"MATCH (n:Network {ip: '10.1'})-[:ROUTES]->(i:Interface)<-[:ROUTES]-(m:Machine)
RETURN m.name AS MachineName, i.ip AS InterfaceIP",Pathfinding Queries,network,"This Cypher query retrieves the interfaces of machines that are connected to the network with the IP '10.1'. Here's a step-by-step breakdown of the query:

1. `MATCH (n:Network {ip: '10.1'})-[:ROUTES]->(i:Interface)<-[:ROUTES]-(m:Machine)`: This part of the query matches the `Network` node with the IP '10.1' and finds all `Interface` nodes that it routes to. It then finds all `Machine` nodes that route to these interfaces.

2. `RETURN m.name AS MachineName, i.ip AS InterfaceIP`: This part of the query returns the names of the machines and the IPs of the interfaces that are connected to the specified network.

By following these steps, the query effectively identifies and returns the machine interfaces connected to the network '10.1'.",False,False,False,False
List all routers connected to interfaces in zone 3.,"MATCH (z:Zone {zone: 3})-[:ROUTES]->(i:Interface)<-[:ROUTES]-(r:Router)
RETURN r.name AS router_name",Complex Aggregation Queries,network,"This Cypher query retrieves all routers connected to interfaces in zone 3. Here's how it works:
1. `MATCH (z:Zone {zone: 3})-[:ROUTES]->(i:Interface)<-[:ROUTES]-(r:Router)`: This pattern matches a `Zone` node with the property `zone` equal to 3, which has a `ROUTES` relationship to an `Interface` node. It then finds `Router` nodes that have a `ROUTES` relationship to the same `Interface` node.
2. `RETURN r.name AS router_name`: This returns the names of the routers found in the previous step.",False,False,False,False
Name the Racks in Zone 1 that hold more than 3 Machines.,"MATCH (r:Rack)-[:HOLDS]->(m:Machine)
WHERE r.zone = 1
WITH r, count(m) as machineCount
WHERE machineCount > 3
RETURN r.name",Pathfinding Queries,network,"1. The query starts by matching `Rack` nodes that are connected to `Machine` nodes via the `HOLDS` relationship.
2. It filters the `Rack` nodes to only those in `zone` 1.
3. It then counts the number of `Machine` nodes held by each `Rack`.
4. It filters the results to only include `Rack` nodes that hold more than 3 `Machine` nodes.
5. Finally, it returns the names of these `Rack` nodes.",False,False,True,False
Which Zones have Networks with the IP '10.3'?,"MATCH (z:Zone)-[:ROUTES]->(i:Interface)<-[:ROUTES]-(n:Network {ip: '10.3'})
RETURN z.ip AS ZoneIP, z.zone AS ZoneNumber",Pathfinding Queries,network,"This Cypher query retrieves the Zones that have Networks with the IP '10.3'. Here's how it works:
1. The `MATCH` clause looks for a `Zone` node (`z`) that has a `ROUTES` relationship to an `Interface` node (`i`).
2. It then checks if this `Interface` node is also connected to a `Network` node (`n`) with the IP '10.3' through another `ROUTES` relationship.
3. If such a pattern is found, the query returns the IP and zone number of the `Zone` node.",False,False,False,False
What are the Versions dependent on the Software 'RHEL'?,"MATCH (s:Software {name: 'RHEL'})-[:DEPENDS_ON]->(v:Version)
RETURN v.name AS Version",Pathfinding Queries,network,"This Cypher query starts by matching the `Software` node with the name 'RHEL'. It then traverses the `DEPENDS_ON` relationship to find all `Version` nodes that the 'RHEL' software depends on. Finally, it returns the names of these `Version` nodes.",False,False,False,False
Which Processes are instances of the Software 'RHEL'?,"MATCH (s:Software {name: 'RHEL'})-[:INSTANCE]-(v:Version)<-[:INSTANCE]-(p:Process)
RETURN p.name AS ProcessName, p.startTime AS StartTime, p.pid AS PID",Pathfinding Queries,network,"This Cypher query retrieves the processes that are instances of the software named 'RHEL'. Here's how it works:
1. The `MATCH` clause finds the `Software` node with the name 'RHEL'.
2. It then follows the `INSTANCE` relationship to find the associated `Version` nodes.
3. From these `Version` nodes, it follows the `INSTANCE` relationship to find the `Process` nodes.
4. The `RETURN` clause outputs the name, start time, and process ID (PID) of each process.",False,False,False,False
Name the Applications running on Machines in Zone 4.,"MATCH (z:Zone {zone: 4})-[:ROUTES]->(i:Interface)<-[:ROUTES]-(m:Machine)-[:RUNS]->(a:Application)
RETURN DISTINCT a.name AS ApplicationName",Pathfinding Queries,network,"This Cypher query retrieves the names of applications running on machines in Zone 4. Here's how it works:
1. It starts by matching the `Zone` node with the property `zone` set to 4.
2. It then traverses the `ROUTES` relationship to find the `Interface` nodes associated with this zone.
3. From these `Interface` nodes, it traverses back to the `Machine` nodes that route through these interfaces.
4. Finally, it matches the `Application` nodes that are running on these machines via the `RUNS` relationship.
5. The query returns the distinct names of these applications.",False,False,False,False
List the top 3 Versions used by the Software 'RHEL'.,"MATCH (s:Software {name: 'RHEL'})-[:VERSION]->(v:Version)
RETURN v.name AS version, COUNT(*) AS usage_count
ORDER BY usage_count DESC
LIMIT 3",Pathfinding Queries,network,"This Cypher query retrieves the top 3 versions used by the software named 'RHEL'. Here's how it works:
1. `MATCH (s:Software {name: 'RHEL'})-[:VERSION]->(v:Version)`: This part of the query matches the `Software` node with the name 'RHEL' and finds all `Version` nodes connected to it via the `VERSION` relationship.
2. `RETURN v.name AS version, COUNT(*) AS usage_count`: This returns the name of each version and the count of how many times each version is used.
3. `ORDER BY usage_count DESC`: This orders the results by the usage count in descending order.
4. `LIMIT 3`: This limits the results to the top 3 versions.",False,False,True,False
Which Interfaces are directly connected to 'DC1-RE'?,"MATCH (egress:Egress {name: 'DC1-RE'})-[:ROUTES]->(interface:Interface)
RETURN interface.ip AS InterfaceIP",Pathfinding Queries,network,"This Cypher query starts by matching the `Egress` node with the name 'DC1-RE'. It then traverses the `ROUTES` relationship to find all `Interface` nodes directly connected to this `Egress` node. Finally, it returns the IP addresses of these interfaces.",False,False,True,False
What is the IP of the Interface in Rack 'DC1-RCK-1-1'?,"MATCH (dc:DataCenter)-[:CONTAINS]->(rack:Rack {name: 'DC1-RCK-1-1'})-[:HOLDS]->(machine:Machine)-[:ROUTES]->(interface:Interface)
RETURN interface.ip AS InterfaceIP",Pathfinding Queries,network,"This Cypher query starts by matching the `DataCenter` node and traverses the `CONTAINS` relationship to find the `Rack` node with the name 'DC1-RCK-1-1'. It then follows the `HOLDS` relationship to find the `Machine` nodes within that rack. From each `Machine`, it traverses the `ROUTES` relationship to find the connected `Interface` nodes. Finally, it returns the IP addresses of these `Interface` nodes.",False,False,True,False
Which Switches are connected to Interfaces routing through network '10.2'?,"MATCH (n:Network {ip: '10.2'})-[:ROUTES]->(i:Interface)<-[:ROUTES]-(s:Switch)
RETURN s.ip AS switch_ip",Pathfinding Queries,network,"This Cypher query retrieves the IP addresses of Switches that are connected to Interfaces routing through the network with IP '10.2'. Here's a step-by-step breakdown of the query:

1. `MATCH (n:Network {ip: '10.2'})-[:ROUTES]->(i:Interface)`: This part of the query matches the Network node with the IP '10.2' and finds all Interfaces that it routes to.
2. `<-[:ROUTES]-(s:Switch)`: This part of the query finds all Switches that route to those Interfaces.
3. `RETURN s.ip AS switch_ip`: This part of the query returns the IP addresses of the Switches.

By following these steps, the query identifies the relevant Switches connected to the specified network.",False,False,True,False
List the first 3 Zones that have a size of 16.,"MATCH (z:Zone)
WHERE z.size = 16
RETURN z
LIMIT 3",Pathfinding Queries,network,"This Cypher query retrieves the first three `Zone` nodes that have a `size` property equal to 16. The `MATCH` clause is used to find all `Zone` nodes, and the `WHERE` clause filters these nodes to only include those with a `size` of 16. The `RETURN` clause specifies that the matching `Zone` nodes should be returned, and the `LIMIT 3` clause restricts the result to the first three matching nodes.",False,False,True,False
Which Routers have a connection to Interface with IP '10.3.8.253'?,"MATCH (router:Router)-[:ROUTES]->(interface:Interface {ip: '10.3.8.253'})
RETURN router.name",Pathfinding Queries,network,This Cypher query will retrieve the names of all Routers that have a connection to the Interface with the IP address '10.3.8.253'. The query starts by matching the `Router` nodes that have a `ROUTES` relationship to an `Interface` node with the specified IP address. It then returns the names of these `Router` nodes.,False,False,False,False
What are the dependencies of the application 'webapp'?,"MATCH (app:Application {name: 'webapp'})-[:DEPENDS_ON]->(dependency)
RETURN dependency.name AS DependencyName",Pathfinding Queries,network,"This Cypher query starts by matching the `Application` node with the name 'webapp'. It then traverses the `DEPENDS_ON` relationship to find all nodes that the 'webapp' application depends on. Finally, it returns the names of these dependency nodes.",False,False,True,False
Name the Egress points from the DataCenter 'DC1'.,"MATCH (dc:DataCenter {name: 'DC1'})-[:CONTAINS]->(e:Egress)
RETURN e.name AS EgressPoints",Pathfinding Queries,network,"This Cypher query retrieves the names of the Egress points from the DataCenter named 'DC1'. The query starts by matching the DataCenter node with the name 'DC1'. It then traverses the `CONTAINS` relationship to find all connected Egress nodes. Finally, it returns the names of these Egress nodes.",False,False,True,False
List the first 5 Ports listened to by the Service with name 'java'.,"MATCH (s:Service {name: 'java'})-[:LISTENS]->(p:Port)
RETURN p.port
LIMIT 5",Pathfinding Queries,network,"This Cypher query starts by matching the `Service` node with the name 'java'. It then traverses the `LISTENS` relationship to find the connected `Port` nodes. Finally, it returns the `port` property of these `Port` nodes, limiting the result to the first 5 ports.",False,False,False,False
Which 3 machines in rack 'DC1-RCK-1-10' run the OS named 'RHEL'?,"MATCH (rack:Rack {name: 'DC1-RCK-1-10'})-[:HOLDS]->(machine:Machine)-[:RUNS]->(os:OS {name: 'RHEL'})
RETURN machine.name
LIMIT 3",Verbose query,network,"This Cypher query retrieves the names of up to 3 machines that are located in the rack named 'DC1-RCK-1-10' and are running the OS named 'RHEL'. 

1. The `MATCH` clause starts by finding the `Rack` node with the name 'DC1-RCK-1-10'.
2. It then follows the `HOLDS` relationship to find the `Machine` nodes contained in that rack.
3. From each `Machine` node, it follows the `RUNS` relationship to find the `OS` nodes.
4. It filters the `OS` nodes to only those with the name 'RHEL'.
5. The `RETURN` clause specifies that the query should return the names of the matching machines.
6. The `LIMIT 3` clause ensures that only up to 3 machine names are returned.",False,False,False,False
What are the first 3 Machines that run the OS starting after 1605733619064?,"MATCH (m:Machine)-[:RUNS]->(os:OS)
WHERE os.startTime > 1605733619064
RETURN m.name
ORDER BY os.startTime
LIMIT 3",Pathfinding Queries,network,"This Cypher query retrieves the names of the first three machines that run an OS with a start time greater than 1605733619064. 

1. The `MATCH` clause finds all `Machine` nodes that have a `RUNS` relationship to an `OS` node.
2. The `WHERE` clause filters these `OS` nodes to only include those with a `startTime` property greater than 1605733619064.
3. The `RETURN` clause specifies that we want to return the `name` property of the `Machine` nodes.
4. The `ORDER BY` clause sorts the results by the `startTime` property of the `OS` nodes in ascending order.
5. The `LIMIT` clause restricts the results to the first three entries.",False,False,True,False
Which machines are running processes that depend on the service named 'java'?,"MATCH (s:Service {name: 'java'})<-[:DEPENDS_ON]-(p:Process)<-[:RUNS]-(m:Machine)
RETURN m.name AS machine_name",Simple Retrieval Queries,network,"This Cypher query retrieves the names of machines that are running processes dependent on the service named 'java'. Here's how it works:
1. `MATCH (s:Service {name: 'java'})`: This part of the query finds the service node with the name 'java'.
2. `<-[:DEPENDS_ON]-(p:Process)`: This part matches processes that depend on the 'java' service.
3. `<-[:RUNS]-(m:Machine)`: This part matches machines that are running those processes.
4. `RETURN m.name AS machine_name`: Finally, it returns the names of these machines.",False,False,True,False
What are the names and IPs of interfaces that connect to zone 1's network?,"MATCH (zone:Zone {zone: 1})-[:ROUTES]->(interface:Interface)
RETURN interface.ip AS ip, interface.name AS name",Simple Retrieval Queries,network,"This Cypher query retrieves the names and IPs of interfaces that connect to zone 1's network. Here's how it works:
1. The `MATCH` clause finds the `Zone` node with the property `zone` equal to 1.
2. It then follows the `ROUTES` relationship from the `Zone` node to the `Interface` nodes.
3. The `RETURN` clause specifies that the query should return the `ip` and `name` properties of the `Interface` nodes.",False,False,True,False
List the first 3 services that depend on the process named '8966'.,"MATCH (p:Process {pid: 8966})-[:DEPENDS_ON]->(s:Service)
RETURN s.name
LIMIT 3",Simple Retrieval Queries,network,"This Cypher query starts by matching a `Process` node with the `pid` property set to `8966`. It then traverses the `DEPENDS_ON` relationship to find the `Service` nodes that depend on this process. Finally, it returns the names of these services, limiting the result to the first 3 services.",False,False,True,False
Which processes are instances of version '7.1' and listen to port 80?,"MATCH (v:Version {name: '7.1'})<-[:INSTANCE]-(p:Process)-[:LISTENS]->(port:Port {port: 80})
RETURN p.name AS processName, p.startTime AS processStartTime, p.pid AS processPID",Simple Retrieval Queries,network,"This Cypher query retrieves processes that are instances of version '7.1' and listen to port 80. Here's how it works:
1. `MATCH (v:Version {name: '7.1'})<-[:INSTANCE]-(p:Process)-[:LISTENS]->(port:Port {port: 80})`: This part of the query matches the `Version` node with the name '7.1', then finds `Process` nodes that have an `INSTANCE` relationship with this version. It further filters these processes to those that have a `LISTENS` relationship with a `Port` node where the port number is 80.
2. `RETURN p.name AS processName, p.startTime AS processStartTime, p.pid AS processPID`: This part of the query returns the name, start time, and PID of the matching processes.",False,False,False,False
Find the top 3 types of machines by RAM that are held in racks in zone 1.,"MATCH (dc:DataCenter)-[:CONTAINS]->(r:Rack {zone: 1})-[:HOLDS]->(m:Machine)-[:TYPE]->(t:Type)
RETURN t.name AS type, t.ram AS ram
ORDER BY t.ram DESC
LIMIT 3",Simple Retrieval Queries,network,"This Cypher query retrieves the top 3 types of machines by RAM that are held in racks in zone 1. Here's a step-by-step breakdown of the query:

1. `MATCH (dc:DataCenter)-[:CONTAINS]->(r:Rack {zone: 1})-[:HOLDS]->(m:Machine)-[:TYPE]->(t:Type)`: This part of the query matches the pattern where a `DataCenter` contains a `Rack` in zone 1, which holds a `Machine` that has a specific `Type`.

2. `RETURN t.name AS type, t.ram AS ram`: This part returns the name and RAM of the machine types.

3. `ORDER BY t.ram DESC`: This orders the results by RAM in descending order, so the types with the highest RAM come first.

4. `LIMIT 3`: This limits the results to the top 3 types.

By following this query, we ensure that we only consider racks in zone 1 and retrieve the machine types with the highest RAM values.",False,False,True,False
Identify all previous versions of the software named 'RHEL' that are depended upon by other software.,"MATCH (s:Software {name: 'RHEL'})-[:VERSION]->(v:Version)<-[:PREVIOUS]-(prev:Version)<-[:DEPENDS_ON]-(other:Software)
RETURN DISTINCT prev.name AS PreviousVersion",Simple Retrieval Queries,network,"This Cypher query retrieves all previous versions of the software named 'RHEL' that are depended upon by other software. Here's a step-by-step breakdown of the query:

1. `MATCH (s:Software {name: 'RHEL'})-[:VERSION]->(v:Version)`: This part of the query finds the 'RHEL' software node and its associated version node.

2. `<-[:PREVIOUS]-(prev:Version)`: This part of the query finds the previous versions of the 'RHEL' version node.

3. `<-[:DEPENDS_ON]-(other:Software)`: This part of the query finds other software nodes that depend on these previous versions.

4. `RETURN DISTINCT prev.name AS PreviousVersion`: This part of the query returns the names of the previous versions, ensuring that each version is listed only once using `DISTINCT`.",False,False,False,False
What are the names of all machines in rack 'DC1-RCK-1-1' and their respective applications?,"MATCH (rack:Rack {name: 'DC1-RCK-1-1'})-[:HOLDS]->(machine:Machine)-[:RUNS]->(application:Application)
RETURN machine.name AS machineName, application.name AS applicationName",Simple Retrieval Queries,network,"This Cypher query starts by matching the `Rack` node with the name 'DC1-RCK-1-1'. It then traverses the `HOLDS` relationship to find all `Machine` nodes contained in this rack. From each `Machine` node, it traverses the `RUNS` relationship to find the `Application` nodes that are running on these machines. Finally, it returns the names of the machines and their respective applications.",False,False,True,False
List the top 3 networks by size that route through interfaces in zone 4.,"MATCH (z:Zone {zone: 4})-[:ROUTES]->(i:Interface)<-[:ROUTES]-(n:Network)
RETURN n.ip AS network_ip, n.size AS network_size
ORDER BY n.size DESC
LIMIT 3",Simple Retrieval Queries,network,"This Cypher query retrieves the top 3 networks by size that route through interfaces in zone 4. Here's a step-by-step breakdown of the query:

1. `MATCH (z:Zone {zone: 4})-[:ROUTES]->(i:Interface)<-[:ROUTES]-(n:Network)`: This pattern matches all `Zone` nodes with a `zone` property of 4, and finds the `Interface` nodes they route to. It then finds the `Network` nodes that route through these interfaces.

2. `RETURN n.ip AS network_ip, n.size AS network_size`: This clause returns the IP and size of each matched network.

3. `ORDER BY n.size DESC`: This clause orders the results by the network size in descending order.

4. `LIMIT 3`: This clause limits the results to the top 3 networks by size.

The query effectively filters and sorts the networks based on their size and the specified zone, providing the top 3 largest networks that route through interfaces in zone 4.",False,False,False,False
Which applications are instances of service named 'java'?,"MATCH (s:Service {name: 'java'})-[:INSTANCE]->(a:Application)
RETURN a.name AS application_name",Simple Retrieval Queries,network,"This Cypher query starts by matching the `Service` node with the name 'java'. It then traverses the `INSTANCE` relationship to find all `Application` nodes that are instances of this service. Finally, it returns the names of these applications.",False,False,False,False
What are the dependencies of the service named 'java' that started after 1605733619064?,"MATCH (s:Service {name: 'java'})-[:DEPENDS_ON]->(dep)
WHERE s.startTime > 1605733619064
RETURN dep.name AS DependencyName",Simple Retrieval Queries,network,"This Cypher query retrieves the dependencies of the service named 'java' that started after the specified timestamp (1605733619064). Here's how it works:
1. `MATCH (s:Service {name: 'java'})-[:DEPENDS_ON]->(dep)`: This part of the query matches the `Service` node with the name 'java' and finds its dependencies through the `DEPENDS_ON` relationship.
2. `WHERE s.startTime > 1605733619064`: This filters the matched `Service` nodes to only include those that started after the given timestamp.
3. `RETURN dep.name AS DependencyName`: This returns the names of the dependencies.",False,False,False,False
Find the top 5 types of machines by CPU in racks located in zone 2.,"MATCH (dc:DataCenter)-[:CONTAINS]->(rack:Rack {zone: 2})-[:HOLDS]->(machine:Machine)-[:TYPE]->(type:Type)
RETURN type.name AS machineType, type.cpu AS cpu
ORDER BY cpu DESC
LIMIT 5",Simple Retrieval Queries,network,"This Cypher query retrieves the top 5 types of machines by CPU in racks located in zone 2. Here's a step-by-step breakdown of how the query works:

1. `MATCH (dc:DataCenter)-[:CONTAINS]->(rack:Rack {zone: 2})-[:HOLDS]->(machine:Machine)-[:TYPE]->(type:Type)`: This part of the query matches the data center containing racks that are in zone 2. It then finds the machines held by these racks and retrieves their types.

2. `RETURN type.name AS machineType, type.cpu AS cpu`: This part of the query returns the name and CPU of each machine type.

3. `ORDER BY cpu DESC`: This orders the results by CPU in descending order, so the machines with the highest CPU come first.

4. `LIMIT 5`: This limits the results to the top 5 machine types by CPU.

By following these steps, the query effectively finds and returns the top 5 types of machines by CPU in the specified zone.",False,False,True,False
